record_id,pmid,doi,title,authors,year,abstract,source_db
R0001,30000001,10.1000/demo.2015.0001,Malignancy treatment tumour efficacy x therapy combination factor,Müller et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 46 patients. Results: The primary endpoint was met with p=0.004. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0002,30000002,10.1000/demo.2023.0002,Combination solid survival targeted outcome treatment,Anderson et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 142 patients. Results: The primary endpoint was met with p=0.045. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0003,30000003,10.1000/demo.2017.0003,Trial phase tumour solid safety treatment x factor analysis,Zhang et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 213 patients. Results: The primary endpoint was met with p=0.085. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0004,30000004,10.1000/demo.2015.0004,Combination x analysis factor treatment ii targeted chemotherapy cohort,Martinez et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 390 patients. Results: The primary endpoint was met with p=0.008. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0005,30000005,10.1000/demo.2016.0005,Patient x analysis phase expression targeted cohort,Yamamoto et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 219 patients. Results: The primary endpoint was met with p=0.036. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0006,30000006,10.1000/demo.2024.0006,Combination efficacy malignancy response expression analysis phase,Chen et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 380 patients. Results: The primary endpoint was met with p=0.033. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0007,30000007,10.1000/demo.2015.0007,Analysis phase factor solid immunotherapy survival trial clinical,Anderson et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 232 patients. Results: The primary endpoint was met with p=0.089. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0008,30000008,10.1000/demo.2019.0008,Efficacy combination patient phase treatment immunotherapy biomarker,Silva et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 215 patients. Results: The primary endpoint was met with p=0.023. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0009,30000009,10.1000/demo.2022.0009,Patient x tumour targeted response therapy,Robinson et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 335 patients. Results: The primary endpoint was met with p=0.007. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0010,30000010,10.1000/demo.2022.0010,Combination patient inhibition therapy efficacy x clinical treatment,Allen et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 423 patients. Results: The primary endpoint was met with p=0.064. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0011,30000011,10.1000/demo.2021.0011,Inhibition efficacy patient phase resistance response safety x targeted,Yamamoto et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 460 patients. Results: The primary endpoint was met with p=0.064. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0012,30000012,10.1000/demo.2017.0012,Combination safety resistance inhibition chemotherapy trial pathway,Brown et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 87 patients. Results: The primary endpoint was met with p=0.093. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0013,30000013,10.1000/demo.2015.0013,Factor treatment efficacy pathway patient combination tumour survival clinical outcome,Suzuki et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 165 patients. Results: The primary endpoint was met with p=0.053. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0014,30000014,10.1000/demo.2018.0014,Safety efficacy survival solid outcome ii analysis therapy targeted cohort,Kobayashi et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 490 patients. Results: The primary endpoint was met with p=0.052. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0015,30000015,10.1000/demo.2018.0015,Inhibition immunotherapy combination malignancy patient clinical treatment factor,Suzuki et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 147 patients. Results: The primary endpoint was met with p=0.008. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0016,30000016,10.1000/demo.2016.0016,Phase therapy pathway solid combination tumour immunotherapy,Nakamura et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 154 patients. Results: The primary endpoint was met with p=0.079. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0017,30000017,10.1000/demo.2016.0017,Cohort biomarker patient expression efficacy transcription therapy targeted survival,Brown et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 61 patients. Results: The primary endpoint was met with p=0.041. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0018,30000018,10.1000/demo.2018.0018,Combination expression tumour biomarker response phase patient,Patel et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 477 patients. Results: The primary endpoint was met with p=0.092. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0019,30000019,10.1000/demo.2016.0019,Outcome inhibition factor safety malignancy response biomarker pathway therapy solid,Saito et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 492 patients. Results: The primary endpoint was met with p=0.007. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0020,30000020,10.1000/demo.2021.0020,Ii biomarker survival efficacy combination therapy outcome pathway tumour,Zhang et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 181 patients. Results: The primary endpoint was met with p=0.023. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0021,30000021,10.1000/demo.2023.0021,Transcription treatment immunotherapy pathway resistance safety response patient,Kato et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 465 patients. Results: The primary endpoint was met with p=0.019. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0022,30000022,10.1000/demo.2025.0022,Analysis x immunotherapy malignancy outcome chemotherapy transcription,Chen et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 244 patients. Results: The primary endpoint was met with p=0.066. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0023,30000023,10.1000/demo.2020.0023,Solid therapy survival trial malignancy phase analysis tumour,Yoshida et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 264 patients. Results: The primary endpoint was met with p=0.032. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0024,30000024,10.1000/demo.2022.0024,X factor combination solid resistance phase tumour cohort patient malignancy,Zhang et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 175 patients. Results: The primary endpoint was met with p=0.017. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0025,30000025,10.1000/demo.2024.0025,Inhibition therapy outcome combination ii patient x tumour phase survival,Taylor et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 410 patients. Results: The primary endpoint was met with p=0.056. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0026,30000026,10.1000/demo.2024.0026,Solid therapy targeted phase resistance pathway clinical transcription,Yamamoto et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 354 patients. Results: The primary endpoint was met with p=0.043. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0027,30000027,10.1000/demo.2015.0027,Targeted phase response efficacy expression combination survival,Park et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 317 patients. Results: The primary endpoint was met with p=0.002. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
