record_id,pmid,doi,title,authors,year,abstract,source_db,duplicate_of
R0186,30000037,10.1000/demo.2019.0037,Trial factor outcome safety malignancy therapy ii clinical solid tumour,Kim et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 53 patients. Results: The primary endpoint was met with p=0.025. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0037
R0213,30000064,10.1000/demo.2017.0064,Response clinical ii chemotherapy efficacy immunotherapy,Thompson et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 254 patients. Results: The primary endpoint was met with p=0.013. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0064
R0226,30000077,10.1000/demo.2016.0077,Safety targeted survival x expression response,Anderson et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 492 patients. Results: The primary endpoint was met with p=0.004. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0077
R0233,30000084,10.1000/demo.2017.0084,Clinical combination cohort resistance treatment phase response,Clark et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 497 patients. Results: The primary endpoint was met with p=0.083. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0084
R0210,30000061,10.1000/demo.2024.0061,Chemotherapy efficacy x safety solid targeted,Taylor et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 165 patients. Results: The primary endpoint was met with p=0.066. Conclusions: TF-X inhibition shows promise in CRC.,Europe PMC,R0061
R0239,30000090,10.1000/demo.2022.0090,X therapy cohort combination targeted outcome transcription analysis,Lewis et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 127 patients. Results: The primary endpoint was met with p=0.097. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0090
R0218,30000069,10.1000/demo.2024.0069,Targeted expression safety transcription solid phase combination tumour ii,Sato et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 480 patients. Results: The primary endpoint was met with p=0.070. Conclusions: TF-X inhibition shows promise in NSCLC.,Europe PMC,R0069
R0151,30000002,10.1000/demo.2023.0002,Combination solid survival targeted outcome treatment,Anderson et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 142 patients. Results: The primary endpoint was met with p=0.045. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0002
R0163,30000014,10.1000/demo.2018.0014,Safety efficacy survival solid outcome ii analysis therapy targeted cohort,Kobayashi et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 490 patients. Results: The primary endpoint was met with p=0.052. Conclusions: TF-X inhibition shows promise in NSCLC.,Europe PMC,R0014
R0205,30000056,10.1000/demo.2018.0056,Trial x efficacy combination safety survival response,Martinez et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 140 patients. Results: The primary endpoint was met with p=0.074. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0056
R0167,30000018,10.1000/demo.2018.0018,Combination expression tumour biomarker response phase patient,Patel et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 477 patients. Results: The primary endpoint was met with p=0.092. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0018
R0183,30000034,10.1000/demo.2020.0034,Therapy trial chemotherapy patient treatment x,Brown et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 289 patients. Results: The primary endpoint was met with p=0.032. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0034
R0196,30000047,10.1000/demo.2015.0047,Targeted factor safety treatment transcription inhibition malignancy,Hall et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 459 patients. Results: The primary endpoint was met with p=0.003. Conclusions: TF-X inhibition shows promise in CRC.,Europe PMC,R0047
R0201,30000052,10.1000/demo.2020.0052,Outcome factor phase expression malignancy clinical immunotherapy,Thompson et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 202 patients. Results: The primary endpoint was met with p=0.004. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0052
